id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000024188","AAT Apprentice Finance Assistant","HUNTERS &amp; CO LTD","UK (LS28 7RZ)","11.0 miles","£15,600 for your first year, then could increase depending on your age","Accounts or finance assistant (level 2)","2","1 year 1 month","Monday 27 April 2026","Closes in 11 days (Sunday 26 April 2026 at 11:59pm)","1","APPRENTICE TEAM LTD","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024188"
"VAC2000009887","Apprentice Trainee Sales Executive - REF 14900","Gas Centre LTD","BRADFORD (BD9 4RE)","11.0 miles","£16,640 for your first year, then could increase depending on your age","Customer service practitioner (level 2)","2","1 year 4 months","Tuesday 28 April 2026","Closes in 6 days (Tuesday 21 April 2026)","1","NORTH LANCS. TRAINING GROUP CIC","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000009887"
"VAC2000019357","Early Years Educator L3 Apprenticeship","SHERWOOD GREEN NURSERY LIMITED","Bradford (BD2 3DX)","11.3 miles","£13,312 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Thursday 30 April 2026","Closes in 13 days (Tuesday 28 April 2026 at 11:59pm)","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000019357"
"VAC2000025431","ICT Apprentice","BLESSED CHRISTOPHER WHARTON CATHOLIC ACADEMY TRUST","Bradford (BD9 4BQ)","11.5 miles","£16,640 to £26,436.80, depending on your age","Information communications technician (level 3)","3","1 year 4 months","Monday 8 June 2026","Closes in 23 days (Friday 8 May 2026)","1","NOWSKILLS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025431"
"VAC2000026497","Marketing Apprentice","KAINUU LTD","Wakefield (WF1 1AA)","11.7 miles","£15,600 for your first year, then could increase depending on your age","Multi-channel marketer (level 3)","3","1 year 4 months","Tuesday 16 June 2026","Closes in 31 days (Saturday 16 May 2026)","1","NOWSKILLS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026497"
"VAC2000021177","Sports Coach Apprenticeship L4","CO SSC LTD","United Kingdom,  (WF1 2ZE)","11.8 miles","£6,656 for your first year, then could increase depending on your age","Sports coach (level 4)","4","1 year 6 months","Tuesday 5 May 2026","Closes in 9 days (Friday 24 April 2026)","1","SCL EDUCATION &amp; TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021177"
"VAC2000026401","Early Years Educator Apprenticeship","SWAN MEADOW PRIVATE DAY NURSERY LTD","Oldham (OL3 5TW)","11.8 miles","£17,472 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 9 months","Tuesday 5 May 2026","Closes in 16 days (Friday 1 May 2026 at 11:59pm)","1","THE OLDHAM COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026401"
"VAC2000024776","Junior TIG Welder / Fabricator Apprentice","PLAND STAINLESS LTD","LEEDS (LS12 6AA)","11.9 miles","£19,656 a year","Metal fabricator (level 3)","3","3 years 6 months","Thursday 7 May 2026","Closes in 16 days (Friday 1 May 2026 at 11:59pm)","1","LUMINATE EDUCATION GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024776"
"VAC2000022474","Apprentice Mechanic","Old Mill Autos","SHIPLEY (BD18 1BD)","11.9 miles","£16,640 for your first year, then could increase depending on your age","Autocare technician (level 2)","2","2 years","Wednesday 22 April 2026","Closes in 5 days (Monday 20 April 2026 at 11:59pm)","1","LUMINATE EDUCATION GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022474"
"VAC2000024349","Apprentice HGV Technician (Leeds)","FORD &amp; SLATER LIMITED","Grangefield Industrial Estate (LS28 6SD)","12.0 miles","£16,640 a year","Heavy vehicle service and maintenance technician (level 3)","3","3 years","Wednesday 1 July 2026","Closes in 15 days (Thursday 30 April 2026 at 11:59pm)","2","SKILLNET LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024349"
