referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST0244","41","Chartered legal executive","6","Legal, finance and accounting","60","27000","Approved for delivery"
"ST0589","364","Production chef","2","Catering and hospitality","12","7000","Approved for delivery"
"ST0458","267","Textile manufacturing operative","2","Engineering and manufacturing","18","7000","Approved for delivery"
"ST1420","804","Hospitality accommodation team member","2","Catering and hospitality","12","6000","Approved for delivery"
"ST1338","743","Battery manufacturing technician","3","Engineering and manufacturing","36","24000","Approved for delivery"
"ST0033","59","Motor vehicle service and maintenance technician - light vehicle","3","Engineering and manufacturing","36","16000","Approved for delivery"
"ST0246","43","Solicitor","7","Legal, finance and accounting","72","27000","Approved for delivery"
"ST0228","93","Commis chef","2","Catering and hospitality","12","9000","Approved for delivery"
"ST1317","697","Robotics engineer - degree","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0272","55","Chartered manager (degree)","6","Business and administration","48","22000","Approved for delivery"
"ST0149","402","Learning and skills teacher","5","Education and early years","18","7000","Approved for delivery"
"ST0534","299","Architectural assistant (integrated degree)","6","Construction and the built environment","48","25000","Approved for delivery"
"ST0554","494","Sonographer (integrated degree)","6","Health and science","36","24000","Approved for delivery"
"ST0908","658","Aviation ground handler","2","Transport and logistics","12","3500","Approved for delivery"
"ST1077","796","Early years teacher (EYTS)","6","Education and early years","33","27000","Approved for delivery"
"ST1438","748","Transport scheduler","3","Transport and logistics","18","8000","Approved for delivery"
"ST0949","663","Applications support lead","4","Digital","24","17000","Approved for delivery"
"ST0270","518","Roofer","2","Construction and the built environment","24","11000","Approved for delivery"
"ST0093","251","Community sport and health officer","3","Health and science","16","9000","Approved for delivery"
"ST1391","790","Maritime pipeworker","3","Engineering and manufacturing","42","24000","Approved for delivery"
"ST1433","793","Clinical dental technician","5","Health and science","24","18000","Approved for delivery"
"ST1398","795","Machine learning engineer","6","Digital","24","22000","Approved for delivery"
"ST1362","734","Soil scientist","7","Health and science","24","21000","Approved for delivery"
"ST0895","631","Enhanced clinical practitioner","6","Health and science","18","7000","Approved for delivery"
"ST1383","771","Dental hygienist","6","Health and science","36","27000","Approved for delivery"
"ST1431","779","Dental nurse","3","Health and science","18","8000","Approved for delivery"
"ST1356","731","Geoscientist (integrated degree)","6","Health and science","60","27000","Approved for delivery"
"ST0669","428","Tramway construction operative","2","Construction and the built environment","18","15000","Approved for delivery"
"ST1432","792","Dental technician","5","Health and science","36","22000","Approved for delivery"
"ST1434","794","Orthodontic therapist","4","Health and science","13","18000","Approved for delivery"
"ST0995","680","Doctor (Degree)","7","Health and science","60","27000","Approved for delivery"
"ST0774","747","Dispensing optician","6","Health and science","36","23000","Approved for delivery"
"ST0918","701","Hair, wigs, make-up and prosthetics technician","3","Creative and design","24","14000","Approved for delivery"
"ST0796","531","Senior professional economist (integrated degree)","7","Legal, finance and accounting","24","11000","Approved for delivery"
"ST0327","101","Retailer","2","Sales, marketing and procurement","14","5000","Approved for delivery"
"ST0599","469","Dietitian","6","Health and science","48","24000","Approved for delivery"
"ST0567","318","Paramedic","6","Health and science","36","27000","Approved for delivery"
"ST0601","368","Prosthetist and orthotist","6","Health and science","48","24000","Approved for delivery"
"ST0787","556","Systems thinking practitioner","7","Business and administration","30","18000","Approved for delivery"
"ST0300","471","Pharmacy technician (integrated)","3","Health and science","24","8000","Approved for delivery"
"ST0618","473","Speech and language therapist","6","Health and science","48","26000","Approved for delivery"
"ST0633","432","Arts therapist","7","Health and science","24","19000","Approved for delivery"
"ST0940","684","Audiovisual technician","5","Creative and design","24","18000","Approved for delivery"
"ST1314","719","Biomedical scientist","6","Health and science","36","27000","Approved for delivery"
"ST0619","431","Diagnostic radiographer","6","Health and science","36","24000","Approved for delivery"
"ST0600","421","Hearing aid dispenser","5","Health and science","24","13000","Approved for delivery"
"ST1105","735","Heritage construction specialist","5","Construction and the built environment","24","8000","Approved for delivery"
"ST0252","404","Lift and escalator engineering","3","Engineering and manufacturing","36","25000","Approved for delivery"
"ST0825","548","DevOps engineer","4","Digital","24","17000","Approved for delivery"
"ST0976","799","Wood machinist","2","Engineering and manufacturing","24","14000","Approved for delivery"
"ST0916","700","Scenic artist","3","Creative and design","21","19000","Approved for delivery"
"ST0864","546","Senior culinary chef","4","Catering and hospitality","24","9000","Approved for delivery"
"ST0025","11","Manufacturing engineer (degree)","6","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0805","588","Construction equipment maintenance mechanic","2","Engineering and manufacturing","24","10000","Approved for delivery"
"ST0517","391","Occupational therapist","6","Health and science","48","24000","Approved for delivery"
"ST0582","306","Operating department practitioner","6","Health and science","48","26000","Approved for delivery"
"ST1272","778","Orthoptist","6","Health and science","36","25000","Approved for delivery"
"ST0519","397","Physiotherapist","6","Health and science","48","24000","Approved for delivery"
"ST0632","370","Prosthetic and orthotic technician","3","Health and science","18","6000","Approved for delivery"
"ST0493","281","Podiatrist","6","Health and science","48","24000","Approved for delivery"
"ST0620","445","Therapeutic radiographer","6","Health and science","36","24000","Approved for delivery"
"ST1419","729","Community nurse specialist practitioner (NMC 2022)","7","Health and science","24","14000","Approved for delivery"
"ST0763","561","Artificial intelligence (AI) data specialist","7","Digital","24","17000","Approved for delivery"
"ST0948","603","Midwife (2019 NMC standards) (Integrated degree)","6","Health and science","48","26000","Approved for delivery"
"ST0267","219","Lifting technician","2","Construction and the built environment","18","15000","Approved for delivery"
