time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,pcon_code,pcon_name,age_summary,apps_level,sex,starts,achievements,participation
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Male,310,120,800
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Total,780,360,1390
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Total,350,180,640
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Total,390,170,710
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Total,40,10,50
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Female,260,150,480
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Female,130,80,250
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Female,120,70,210
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Female,20,low,20
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Male,520,210,910
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Male,220,100,390
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Male,280,100,500
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Male,20,10,30
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Total,890,410,2220
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Total,210,120,500
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Total,460,210,1210
